"chrs","pos"
1,125000
1,625000
1,875000
1,1125000
1,1375000
1,1625000
1,1875000
1,2125000
1,2375000
1,2625000
1,3125000
1,3375000
1,3625000
1,3875000
1,4125000
1,4875000
1,5875000
1,6125000
1,6375000
1,6625000
1,7125000
1,7625000
1,7875000
1,8125000
1,8375000
1,8625000
1,8875000
1,9125000
1,9625000
1,9875000
1,10375000
1,10625000
1,10875000
1,11125000
1,11375000
1,11625000
1,11875000
1,12125000
1,12375000
1,12875000
1,13125000
1,13625000
1,13875000
1,14125000
1,15375000
1,15625000
1,15875000
1,16125000
1,16375000
1,16625000
1,16875000
1,17125000
1,17375000
1,17625000
1,17875000
1,18125000
1,18625000
1,18875000
1,19125000
1,19375000
1,19625000
1,19875000
1,20125000
1,20375000
1,20625000
1,20875000
1,21625000
1,21875000
1,22125000
1,22375000
1,22875000
1,23125000
1,23375000
1,23625000
1,23875000
1,24125000
1,24625000
1,24875000
1,25375000
1,25625000
1,25875000
1,26125000
1,26375000
1,26625000
1,26875000
1,27125000
1,27375000
1,27625000
1,27875000
1,28125000
1,28375000
1,28875000
1,29125000
1,29625000
1,31125000
1,31375000
1,31875000
1,32125000
1,32375000
1,32625000
1,33125000
1,33375000
1,33625000
1,33875000
1,34125000
1,34625000
1,35125000
1,35375000
1,35625000
1,35875000
1,36375000
1,36625000
1,36875000
1,37375000
1,37625000
1,37875000
1,38125000
1,38375000
1,39125000
1,39875000
1,40125000
1,40375000
1,40625000
1,40875000
1,41125000
1,41375000
1,41875000
1,42125000
1,42625000
1,42875000
1,43125000
1,43375000
1,43625000
1,43875000
1,44125000
1,44375000
1,44625000
1,45125000
1,45375000
1,45625000
1,45875000
1,46125000
1,46375000
1,46625000
1,46875000
1,47125000
1,47375000
1,47625000
1,47875000
1,48625000
1,48875000
1,49125000
1,50375000
1,50625000
1,50875000
1,51875000
1,52125000
1,52375000
1,52625000
1,52875000
1,53125000
1,53375000
1,53625000
1,54125000
1,54375000
1,54625000
1,54875000
1,55125000
1,55375000
1,55625000
1,55875000
1,57125000
1,57375000
1,57625000
1,58125000
1,59125000
1,59375000
1,59875000
1,60375000
1,61875000
1,62125000
1,62375000
1,62625000
1,62875000
1,63875000
1,64125000
1,64625000
1,65125000
1,65375000
1,65625000
1,65875000
1,66125000
1,66875000
1,67125000
1,67375000
1,67625000
1,67875000
1,68125000
1,68625000
1,70125000
1,70375000
1,70625000
1,70875000
1,71125000
1,74375000
1,74625000
1,74875000
1,75125000
1,75625000
1,76125000
1,76375000
1,77125000
1,77625000
1,78125000
1,78375000
1,78625000
1,78875000
1,79125000
1,79375000
1,79625000
1,79875000
1,80625000
1,81875000
1,82375000
1,84375000
1,85375000
1,85625000
1,86125000
1,86375000
1,86625000
1,86875000
1,87125000
1,87375000
1,87625000
1,87875000
1,89125000
1,89375000
1,89625000
1,89875000
1,90125000
1,90375000
1,91375000
1,91625000
1,91875000
1,92125000
1,92375000
1,92625000
1,92875000
1,93125000
1,93375000
1,93625000
1,94125000
1,94375000
1,94625000
1,95375000
1,95625000
1,96875000
1,97125000
1,97375000
1,97875000
1,98125000
1,99375000
1,100125000
1,100375000
1,100625000
1,100875000
1,101375000
1,101625000
1,102375000
1,103375000
1,104125000
1,104375000
1,105125000
1,108125000
1,108375000
1,108625000
1,108875000
1,109125000
1,109375000
1,109625000
1,109875000
1,110125000
1,110375000
1,110625000
1,110875000
1,111625000
1,111875000
1,112125000
1,112375000
1,113125000
1,113375000
1,113625000
1,113875000
1,114125000
1,114375000
1,114625000
1,114875000
1,115125000
1,115375000
1,115625000
1,116125000
1,116375000
1,116625000
1,117375000
1,117625000
1,117875000
1,118125000
1,118375000
1,119125000
1,119625000
1,119875000
1,120125000
1,120375000
1,120625000
1,120875000
1,121125000
1,121375000
1,142625000
1,142875000
1,143125000
1,143375000
1,143625000
1,143875000
1,144125000
1,144375000
1,144625000
1,144875000
1,145125000
1,145375000
1,145625000
1,146125000
1,146375000
1,146625000
1,146875000
1,147125000
1,147625000
1,147875000
1,148125000
1,148375000
1,148625000
1,148875000
1,149125000
1,149375000
1,149625000
1,149875000
1,150125000
1,150375000
1,150625000
1,150875000
1,151125000
1,151375000
1,151625000
1,151875000
1,152125000
1,152375000
1,152625000
1,152875000
1,153125000
1,153375000
1,153625000
1,153875000
1,154125000
1,154625000
1,154875000
1,155125000
1,155625000
1,155875000
1,156125000
1,156375000
1,156625000
1,156875000
1,157125000
1,157375000
1,157625000
1,157875000
1,158125000
1,158625000
1,158875000
1,159125000
1,159375000
1,159625000
1,159875000
1,160125000
1,160375000
1,160625000
1,160875000
1,161125000
1,161375000
1,161625000
1,161875000
1,162375000
1,162875000
1,163125000
1,164375000
1,165125000
1,165375000
1,165625000
1,166625000
1,166875000
1,167125000
1,167375000
1,167625000
1,167875000
1,168125000
1,168375000
1,168625000
1,169375000
1,169625000
1,169875000
1,170125000
1,170875000
1,171125000
1,171375000
1,171625000
1,171875000
1,172125000
1,172375000
1,172625000
1,173375000
1,173625000
1,173875000
1,174875000
1,175125000
1,175375000
1,175875000
1,176125000
1,176875000
1,177125000
1,177375000
1,177875000
1,178125000
1,178375000
1,178625000
1,179125000
1,179375000
1,179625000
1,179875000
1,180125000
1,180375000
1,180875000
1,181625000
1,181875000
1,182375000
1,182625000
1,182875000
1,183125000
1,183375000
1,183625000
1,183875000
1,184625000
1,185125000
1,185875000
1,186125000
1,186375000
1,186625000
1,186875000
1,187625000
1,187875000
1,189875000
1,190875000
1,191125000
1,192125000
1,192625000
1,192875000
1,193125000
1,193875000
1,194125000
1,195625000
1,195875000
1,196375000
1,196625000
1,196875000
1,197125000
1,197375000
1,197625000
1,197875000
1,198125000
1,198375000
1,198625000
1,198875000
1,199625000
1,199875000
1,200125000
1,200375000
1,200625000
1,200875000
1,201125000
1,201375000
1,201875000
1,202125000
1,202375000
1,202625000
1,202875000
1,203125000
1,203375000
1,203625000
1,203875000
1,204125000
1,204375000
1,204625000
1,204875000
1,205125000
1,205375000
1,205625000
1,205875000
1,206125000
1,206625000
1,206875000
1,207125000
1,207375000
1,207625000
1,207875000
1,208125000
1,208375000
1,209375000
1,209875000
1,210375000
1,210625000
1,210875000
1,211125000
1,211375000
1,211625000
1,211875000
1,212125000
1,212625000
1,212875000
1,213125000
1,214375000
1,214625000
1,214875000
1,215375000
1,215625000
1,215875000
1,216125000
1,216375000
1,216625000
1,217625000
1,217875000
1,218125000
1,218625000
1,219375000
1,220125000
1,220375000
1,220875000
1,221125000
1,221625000
1,221875000
1,222625000
1,222875000
1,223125000
1,223375000
1,223625000
1,223875000
1,224125000
1,224375000
1,224625000
1,225125000
1,225375000
1,225625000
1,225875000
1,226125000
1,226375000
1,226625000
1,226875000
1,227125000
1,227625000
1,227875000
1,228125000
1,228375000
1,228625000
1,229125000
1,229375000
1,229625000
1,229875000
1,230375000
1,231125000
1,231375000
1,231625000
1,231875000
1,232125000
1,232625000
1,233125000
1,233375000
1,233625000
1,233875000
1,234125000
1,234375000
1,234625000
1,235625000
1,235875000
1,236125000
1,236375000
1,236625000
1,236875000
1,237125000
1,237625000
1,237875000
1,238125000
1,238625000
1,240125000
1,240375000
1,240625000
1,240875000
1,241125000
1,241625000
1,241875000
1,242125000
1,242375000
1,242875000
1,243375000
1,243625000
1,243875000
1,244625000
1,244875000
1,245125000
1,245375000
1,245625000
1,245875000
1,246125000
1,246375000
1,246625000
1,247125000
1,247375000
1,247625000
1,247875000
1,248125000
1,248375000
1,248625000
1,248875000
1,249125000
2,125000
2,375000
2,875000
2,1375000
2,1625000
2,1875000
2,3125000
2,3375000
2,3625000
2,4625000
2,6625000
2,7125000
2,8375000
2,8875000
2,9875000
2,10125000
2,10375000
2,10625000
2,10875000
2,11125000
2,11375000
2,11625000
2,11875000
2,12125000
2,12875000
2,14125000
2,15375000
2,15625000
2,15875000
2,16625000
2,17125000
2,17875000
2,18125000
2,18875000
2,20125000
2,20375000
2,20625000
2,20875000
2,21125000
2,23625000
2,24125000
2,24375000
2,24625000
2,25125000
2,25375000
2,25625000
2,25875000
2,26125000
2,26375000
2,26625000
2,26875000
2,27125000
2,27375000
2,27625000
2,28125000
2,28625000
2,28875000
2,29125000
2,29375000
2,29625000
2,30625000
2,30875000
2,31125000
2,31375000
2,31625000
2,31875000
2,32375000
2,32625000
2,32875000
2,33125000
2,33375000
2,33625000
2,33875000
2,34125000
2,36625000
2,36875000
2,37125000
2,37375000
2,37625000
2,37875000
2,38125000
2,38375000
2,38625000
2,38875000
2,39125000
2,39375000
2,39625000
2,39875000
2,40375000
2,41375000
2,41625000
2,42125000
2,42375000
2,42625000
2,42875000
2,43125000
2,43375000
2,43875000
2,44125000
2,44625000
2,45125000
2,46375000
2,46625000
2,46875000
2,47375000
2,47625000
2,48125000
2,48625000
2,48875000
2,49125000
2,49375000
2,50375000
2,50625000
2,50875000
2,51625000
2,52875000
2,53875000
2,54125000
2,54375000
2,54875000
2,55125000
2,55375000
2,55625000
2,55875000
2,56125000
2,56375000
2,56625000
2,56875000
2,57375000
2,57875000
2,58875000
2,60875000
2,61125000
2,61375000
