	chrs	pos	DCIS	INV
SNP1	1	125000	0.27027	0.0714286
SNP2	1	875000	0.0473251	0.105169
SNP3	1	1125000	0.0314663	0.102459
SNP4	1	1375000	0.105023	0.163265
SNP5	1	1625000	0.0442963	0.111834
SNP6	1	1875000	0.0179691	0.0732436
SNP7	1	2125000	0	0.0731707
SNP8	1	2375000	0.0149665	0.109665
SNP9	1	2625000	0.161683	0.184358
SNP10	1	3125000	0.0145349	0.06
SNP11	1	3375000	0.0348399	0.116564
SNP12	1	3625000	0.0183126	0.08
SNP13	1	3875000	0.0255288	0.121813
SNP14	1	4875000	0	0.4
SNP15	1	5125000	0	0
SNP16	1	5875000	0.0364807	0.116022
SNP17	1	6125000	0.0702703	0.160279
SNP18	1	6375000	0.0451389	0.0652174
SNP19	1	6625000	0.0851064	0.123894
SNP20	1	7625000	0.0248447	0.147368
SNP21	1	7875000	0.0378595	0.127962
SNP22	1	8375000	0.0336037	0.102941
SNP23	1	8625000	0.0177515	0.228571
SNP24	1	8875000	0.0163934	0.125
SNP25	1	9125000	0.045283	0.0689655
SNP26	1	9375000	0.0347826	0.125749
SNP27	1	9625000	0.037037	0.05
SNP28	1	9875000	0.0411765	0.15
SNP29	1	10125000	0.076087	0.0333333
SNP30	1	10375000	0.0290745	0.14043
SNP31	1	10625000	0.0353774	0.121469
SNP32	1	11125000	0.0286225	0.10143
SNP33	1	11375000	0.0312796	0.156522
SNP34	1	11625000	0.0243328	0.123028
SNP35	1	11875000	0.0258065	0.104982
SNP36	1	12125000	0.0316384	0.118534
SNP37	1	12375000	0.0180542	0.116223
SNP38	1	12625000	0.04329	0.110526
SNP39	1	12875000	0.237563	0.283648
SNP40	1	13125000	0.364548	0.414747
SNP41	1	13375000	0.263959	0.258824
SNP42	1	13875000	0	0
SNP43	1	15375000	0.0714286	0.126316
SNP44	1	15625000	0.0246609	0.125904
SNP45	1	15875000	0.0294944	0.13
SNP46	1	16125000	0.0330761	0.130564
SNP47	1	16375000	0.123243	0.183857
SNP48	1	16625000	0.0275913	0.126506
SNP49	1	16875000	0.358716	0.367235
SNP50	1	17125000	0.34301	0.306202
SNP51	1	17375000	0.187851	0.239927
SNP52	1	17625000	0.026893	0.11448
SNP53	1	18125000	0.027027	0.2
SNP54	1	18625000	0.0158371	0.153846
SNP55	1	19125000	0.0352287	0.124011
SNP56	1	19375000	0.0324401	0.125161
SNP57	1	19625000	0.0285882	0.0973111
SNP58	1	19875000	0.038961	0.102564
SNP59	1	20125000	0.0191939	0.139286
SNP60	1	20375000	0.0347826	0.119205
SNP61	1	20625000	0.0444162	0.173745
SNP62	1	21125000	0.0194175	0.0625
SNP63	1	21875000	0.0284964	0.173391
SNP64	1	22125000	0.0356152	0.0933759
SNP65	1	22375000	0.0533611	0.137931
SNP66	1	22875000	0.0280456	0.116129
SNP67	1	23125000	0.0131004	0.123188
SNP68	1	23625000	0.00961538	0.25
SNP69	1	23875000	0.0116279	0.12037
SNP70	1	24125000	0.0244336	0.101286
SNP71	1	24375000	0.0273425	0.117107
SNP72	1	24625000	0.119816	0.14876
SNP73	1	24875000	0.0194489	0.101818
SNP74	1	25375000	0.0392157	0.0909091
SNP75	1	25625000	0.0344234	0.0996016
SNP76	1	25875000	0.0134228	0.220588
SNP77	1	26125000	0.101928	0.2625
SNP78	1	26375000	0.0187166	0.153846
SNP79	1	26625000	0.0382609	0.0933879
SNP80	1	26875000	0.043617	0.116667
SNP81	1	27125000	0.0869565	0.166667
SNP82	1	27375000	0.0181818	0.183333
SNP83	1	27875000	0.104348	0.193548
SNP84	1	28125000	0.020794	0.12013
SNP85	1	28375000	0.0404762	0.0980392
SNP86	1	28625000	0.0921053	0
SNP87	1	28875000	0.0252101	0.176471
SNP88	1	29125000	0.0240964	0.2
SNP89	1	29625000	0.0346001	0.0902394
SNP90	1	31125000	0.0253968	0.0931174
SNP91	1	31375000	0.031746	0.146758
SNP92	1	31625000	0.0228137	0.162162
SNP93	1	32125000	0.0495513	0.136905
SNP94	1	32375000	0.0196078	0.137931
SNP95	1	32625000	0.039479	0.124509
SNP96	1	33125000	0.333333	0.0769231
SNP97	1	33625000	0.384615	0.458647
SNP98	1	33875000	0.418079	0.344828
SNP99	1	34125000	0.409953	0.417476
SNP100	1	34375000	0.422857	0.455882
SNP101	1	34625000	0.435644	0.448276
SNP102	1	35125000	0.484211	0.358209
SNP103	1	35375000	0.424149	0.387097
SNP104	1	35625000	0.340611	0.297297
SNP105	1	35875000	0.382436	0.320513
SNP106	1	36125000	0.43879	0.45666
SNP107	1	36375000	0.176471	0.375
SNP108	1	36625000	0.389189	0.465909
SNP109	1	36875000	0.428339	0.418507
SNP110	1	37375000	0.44312	0.411017
SNP111	1	37875000	0.441624	0.450382
SNP112	1	38125000	0.455861	0.431102
SNP113	1	38375000	0.431149	0.414944
SNP114	1	39375000	0.435973	0.411184
SNP115	1	39625000	0.432916	0.440252
SNP116	1	39875000	0.427972	0.425193
SNP117	1	40125000	0.446619	0.441452
SNP118	1	40375000	0.466667	0.447368
SNP119	1	40625000	0.413793	0.449057
SNP120	1	40875000	0.434524	0.4375
SNP121	1	41125000	0.442529	0.399516
SNP122	1	41375000	0.444373	0.362825
SNP123	1	41625000	0.473846	0.444444
SNP124	1	41875000	0.429134	0.386667
SNP125	1	42125000	0.418919	0.491525
SNP126	1	42625000	0.44127	0.436548
SNP127	1	42875000	0.435171	0.417219
SNP128	1	43125000	0.449292	0.404462
SNP129	1	43375000	0.422131	0.437037
SNP130	1	43625000	0.350109	0.319277
SNP131	1	43875000	0.383784	0.421875
SNP132	1	44125000	0.298246	0.34375
SNP133	1	44375000	0.453125	0.385542
SNP134	1	44625000	0.451039	0.446215
SNP135	1	44875000	0.457143	0.307692
SNP136	1	45125000	0.43141	0.421687
SNP137	1	45375000	0.434347	0.421473
SNP138	1	45625000	0.439394	0.361111
SNP139	1	45875000	0.463054	0.420732
SNP140	1	46125000	0.413502	0.40381
SNP141	1	46625000	0.415906	0.386986
SNP142	1	46875000	0.424837	0.402941
SNP143	1	47125000	0.446176	0.426852
SNP144	1	47375000	0.442308	0.458204
SNP145	1	47625000	0.424658	0.41958
SNP146	1	47875000	0.441916	0.413043
SNP147	1	48125000	0.384615	0.368421
SNP148	1	48625000	0.464286	0.453488
SNP149	1	48875000	0.409524	0.421222
SNP150	1	49125000	0.470339	0.426357
SNP151	1	49375000	0.410156	0.422145
SNP152	1	50125000	0.459459	0.389831
SNP153	1	50375000	0.475676	0.482143
SNP154	1	50875000	0.428571	0.449153
SNP155	1	51625000	0.456522	0.416667
SNP156	1	51875000	0.392453	0.398577
SNP157	1	52125000	0.478442	0.44484
SNP158	1	52375000	0.382353	0.2
SNP159	1	52875000	0.421466	0.47619
SNP160	1	53125000	0.448625	0.409894
SNP161	1	53375000	0.403092	0.442724
SNP162	1	53625000	0.418667	0.393293
SNP163	1	53875000	0.440945	0.5
SNP164	1	54375000	0.324607	0.428571
SNP165	1	54625000	0.444844	0.377432
SNP166	1	55125000	0.440939	0.430889
SNP167	1	55375000	0.436678	0.423345
SNP168	1	55625000	0.456585	0.419417
SNP169	1	55875000	0.407407	0.405594
SNP170	1	56875000	0.463235	0.392857
SNP171	1	57125000	0.456343	0.465517
SNP172	1	57375000	0.424176	0.430272
SNP173	1	57625000	0.438235	0.454545
SNP174	1	58625000	0.483444	0.468254
SNP175	1	58875000	0.422383	0.452206
SNP176	1	59125000	0.42132	0.398734
SNP177	1	60375000	0.424831	0.363322
SNP178	1	61875000	0.431655	0.392857
SNP179	1	62125000	0.406427	0.389262
SNP180	1	62375000	0.441592	0.378608
SNP181	1	62625000	0.446383	0.387074
SNP182	1	62875000	0.408531	0.419128
SNP183	1	63125000	0.399781	0.395122
SNP184	1	63375000	0.344512	0.277372
SNP185	1	63875000	0.413424	0.408821
SNP186	1	64125000	0.393342	0.379603
SNP187	1	64375000	0.365432	0.323529
