#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3	cn_clone4	u_clone4
chr1	0	50000	A12-A	2.03393	16	68	415	684	0.377616	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	0	50000	A12-C	2.33287	15	76	430	721	0.373588	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	0	50000	A12-D	2.32333	16	77	439	806	0.35261	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	50000	100000	A12-A	1.53431	11	54	206	394	0.343333	55	1|1	0.217686	2|0	0	2|0	0	1|1	0.782314	1|1	0
chr1	50000	100000	A12-C	1.91776	11	69	239	528	0.311604	55	1|1	0.222725	2|0	0.261793	2|0	0	1|1	0.515482	1|1	0
chr1	50000	100000	A12-D	2.00814	10	76	243	517	0.319737	55	1|1	0.176347	2|0	0	2|0	0.217594	1|1	0	1|1	0.606059
chr1	100000	150000	A12-A	1.68726	7	37	99	161	0.380769	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	100000	150000	A12-C	2.04443	7	55	162	228	0.415385	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	100000	150000	A12-D	1.9949	7	44	129	179	0.418831	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	200000	250000	A12-A	1.66972	17	53	323	578	0.358491	55	1|1	0.217686	2|0	0	2|0	0	1|1	0.782314	1|1	0
chr1	200000	250000	A12-C	1.86677	17	52	338	561	0.375973	55	1|1	0.222725	2|0	0.261793	2|0	0	1|1	0.515482	1|1	0
chr1	200000	250000	A12-D	1.76679	17	50	326	540	0.376443	55	1|1	0.176347	2|0	0	2|0	0.217594	1|1	0	1|1	0.606059
chr1	250000	300000	A12-A	1.38086	5	48	91	151	0.376033	34	1|1	0.217686	2|0	0	2|0	0	1|1	0.782314	1|1	0
chr1	250000	300000	A12-C	1.57418	5	53	75	191	0.281955	34	1|1	0.222725	2|0	0.261793	2|0	0	1|1	0.515482	1|1	0
chr1	250000	300000	A12-D	1.5517	5	52	88	172	0.338462	34	1|1	0.176347	2|0	0	2|0	0.217594	1|1	0	1|1	0.606059
chr1	500000	550000	A12-A	1.6874	6	21	43	84	0.338583	55	1|1	0.217686	2|0	0	2|0	0	1|1	0.782314	1|1	0
chr1	500000	550000	A12-C	2.01914	7	18	39	92	0.29771	55	1|1	0.222725	2|0	0.261793	2|0	0	1|1	0.515482	1|1	0
chr1	500000	550000	A12-D	1.87081	7	21	48	103	0.317881	55	1|1	0.176347	2|0	0	2|0	0.217594	1|1	0	1|1	0.606059
chr1	550000	600000	A12-A	0.838678	6	27	52	111	0.319018	13	1|1	0.217686	2|0	0	1|0	0	1|1	0.782314	3|1	0
chr1	550000	600000	A12-C	1.06495	6	31	66	123	0.349206	13	1|1	0.222725	2|0	0.261793	1|0	0	1|1	0.515482	3|1	0
chr1	550000	600000	A12-D	1.4705	6	36	85	133	0.389908	13	1|1	0.176347	2|0	0	1|0	0.217594	1|1	0	3|1	0.606059
chr1	600000	650000	A12-A	1.58013	12	29	151	205	0.424157	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	600000	650000	A12-C	1.86724	12	33	153	254	0.375921	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	600000	650000	A12-D	1.76709	12	36	168	275	0.379233	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	650000	700000	A12-A	1.88475	13	31	154	253	0.378378	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	650000	700000	A12-C	2.19835	13	36	181	288	0.385928	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	650000	700000	A12-D	2.00171	13	32	159	268	0.372365	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	700000	750000	A12-A	1.97518	42	67	1088	1762	0.381754	55	1|1	0.217686	2|0	0	2|0	0	1|1	0.782314	1|1	0
chr1	700000	750000	A12-C	2.12096	41	71	1075	1862	0.36602	55	1|1	0.222725	2|0	0.261793	2|0	0	1|1	0.515482	1|1	0
chr1	700000	750000	A12-D	1.7578	41	57	759	1581	0.324359	55	1|1	0.176347	2|0	0	2|0	0.217594	1|1	0	1|1	0.606059
chr1	750000	800000	A12-A	1.94623	103	68	2732	4307	0.388123	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	750000	800000	A12-C	2.21905	103	69	2818	4345	0.393411	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	750000	800000	A12-D	1.91037	103	60	2245	3935	0.363269	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	800000	850000	A12-A	1.84263	58	54	1337	1802	0.425932	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	800000	850000	A12-C	2.12287	58	56	1375	1904	0.419335	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	800000	850000	A12-D	1.95161	58	53	1260	1832	0.407503	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	850000	900000	A12-A	2.4788	80	42	1448	1914	0.430696	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	850000	900000	A12-C	2.84914	80	44	1528	2008	0.432127	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	850000	900000	A12-D	2.50686	80	41	1443	1844	0.439002	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	900000	950000	A12-A	2.26199	97	46	1879	2606	0.418952	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	900000	950000	A12-C	2.56365	97	48	1938	2729	0.415256	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	900000	950000	A12-D	2.29213	97	44	1804	2506	0.418561	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	950000	1000000	A12-A	2.59324	84	43	1593	2060	0.43608	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	950000	1000000	A12-C	2.92571	84	41	1572	1944	0.447099	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	950000	1000000	A12-D	2.52649	84	39	1416	1871	0.430788	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	1000000	1050000	A12-A	2.2078	55	40	956	1272	0.429084	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1000000	1050000	A12-C	2.55622	56	40	1017	1241	0.450399	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1000000	1050000	A12-D	2.25552	56	38	909	1254	0.42025	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1050000	1100000	A12-A	2.47578	40	44	790	977	0.447085	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
