#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER	cn_normal	u_normal	cn_clone1	u_clone1
chr1	0	250000	DCIS	1.11085	6	42	97	159	0.378906	13	1|1	0.457942	3|0	0.542058
chr1	0	250000	INV	0.736523	3	13	7	32	0.179487	13	1|1	0.62914	3|0	0.37086
chr1	500000	750000	DCIS	1.04343	1	61	23	38	0.377049	5	1|1	0.457942	1|1	0.542058
chr1	500000	750000	INV	0.812793	1	10	4	6	0.4	5	1|1	0.62914	1|1	0.37086
chr1	750000	1000000	DCIS	0.977612	54	34	776	1083	0.417429	5	1|1	0.457942	1|1	0.542058
chr1	750000	1000000	INV	0.861891	40	31	487	758	0.391165	5	1|1	0.62914	1|1	0.37086
chr1	1000000	1250000	DCIS	1.21489	41	30	475	793	0.374606	6	1|1	0.457942	2|1	0.542058
chr1	1000000	1250000	INV	1.01733	26	27	307	401	0.433616	6	1|1	0.62914	2|1	0.37086
chr1	1250000	1500000	DCIS	1.32836	80	65	1970	3236	0.37841	6	1|1	0.457942	2|1	0.542058
chr1	1250000	1500000	INV	1.02831	60	49	1223	1729	0.414295	6	1|1	0.62914	2|1	0.37086
chr1	1500000	1750000	DCIS	1.29218	73	80	2190	3710	0.371186	6	1|1	0.457942	2|1	0.542058
chr1	1500000	1750000	INV	1.05641	53	56	1252	1768	0.41457	6	1|1	0.62914	2|1	0.37086
chr1	1750000	2000000	DCIS	1.21149	40	51	806	1259	0.390315	6	1|1	0.457942	2|1	0.542058
chr1	1750000	2000000	INV	1.04333	32	44	629	782	0.445783	6	1|1	0.62914	2|1	0.37086
chr1	2000000	2250000	DCIS	1.18827	14	50	291	411	0.41453	6	1|1	0.457942	2|1	0.542058
chr1	2000000	2250000	INV	0.997074	12	39	206	265	0.437367	6	1|1	0.62914	2|1	0.37086
chr1	2250000	2500000	DCIS	1.28423	42	52	751	1457	0.340127	6	1|1	0.457942	2|1	0.542058
chr1	2250000	2500000	INV	0.997433	32	33	407	651	0.384688	6	1|1	0.62914	2|1	0.37086
chr1	2500000	2750000	DCIS	1.36794	20	35	203	508	0.285513	6	1|1	0.457942	2|1	0.542058
chr1	2500000	2750000	INV	1.12459	18	24	167	274	0.378685	6	1|1	0.62914	2|1	0.37086
chr1	3000000	3250000	DCIS	0.750394	1	35	17	18	0.485714	0	1|1	0.457942	1|1	0.542058
chr1	3000000	3250000	INV	0.860804	1	55	27	28	0.490909	0	1|1	0.62914	1|1	0.37086
chr1	3250000	3500000	DCIS	0.845772	32	29	388	543	0.416756	0	1|1	0.457942	1|1	0.542058
chr1	3250000	3500000	INV	0.799985	22	28	260	368	0.414013	0	1|1	0.62914	1|1	0.37086
chr1	3500000	3750000	DCIS	0.921243	37	45	742	954	0.4375	0	1|1	0.457942	1|1	0.542058
chr1	3500000	3750000	INV	0.83992	29	40	495	673	0.423801	0	1|1	0.62914	1|1	0.37086
chr1	3750000	4000000	DCIS	0.950199	25	42	444	613	0.420057	0	1|1	0.457942	1|1	0.542058
chr1	3750000	4000000	INV	1.02507	20	38	310	466	0.399485	0	1|1	0.62914	1|1	0.37086
chr1	4000000	4250000	DCIS	0.745432	1	13	5	8	0.384615	0	1|1	0.457942	2|0	0.542058
chr1	4000000	4250000	INV	0.921865	1	11	2	9	0.181818	0	1|1	0.62914	2|0	0.37086
chr1	4750000	5000000	DCIS	0.770688	2	50	48	53	0.475248	0	1|1	0.457942	1|1	0.542058
chr1	4750000	5000000	INV	0.899184	2	62	45	79	0.362903	0	1|1	0.62914	1|1	0.37086
chr1	5750000	6000000	DCIS	0.835652	8	28	93	134	0.409692	0	1|1	0.457942	1|1	0.542058
chr1	5750000	6000000	INV	0.864857	5	28	55	89	0.381944	0	1|1	0.62914	1|1	0.37086
chr1	6000000	6250000	DCIS	0.996778	37	44	697	964	0.419627	0	1|1	0.457942	1|1	0.542058
chr1	6000000	6250000	INV	0.874503	31	29	376	530	0.415011	0	1|1	0.62914	1|1	0.37086
chr1	6250000	6500000	DCIS	1.06169	3	41	53	72	0.424	0	1|1	0.457942	1|1	0.542058
chr1	6250000	6500000	INV	0.935262	2	36	31	42	0.424658	0	1|1	0.62914	1|1	0.37086
chr1	6500000	6750000	DCIS	1.0701	4	32	43	86	0.333333	0	1|1	0.457942	2|0	0.542058
chr1	6500000	6750000	INV	0.979469	3	21	21	42	0.333333	0	1|1	0.62914	2|0	0.37086
chr1	7000000	7250000	DCIS	0.834524	1	40	17	23	0.425	0	1|1	0.457942	1|1	0.542058
chr1	7000000	7250000	INV	0.950595	1	31	14	17	0.451613	0	1|1	0.62914	1|1	0.37086
chr1	7500000	7750000	DCIS	0.830213	1	59	20	39	0.338983	0	1|1	0.457942	2|0	0.542058
chr1	7500000	7750000	INV	0.782136	1	33	14	19	0.424242	0	1|1	0.62914	2|0	0.37086
chr1	7750000	8000000	DCIS	0.92099	22	64	601	816	0.424135	0	1|1	0.457942	1|1	0.542058
chr1	7750000	8000000	INV	0.907249	14	89	544	713	0.432776	0	1|1	0.62914	1|1	0.37086
chr1	8000000	8250000	DCIS	1.00038	1	58	29	29	0.5	0	1|1	0.457942	2|0	0.542058
chr1	8000000	8250000	INV	1.02126	1	19	7	12	0.368421	0	1|1	0.62914	2|0	0.37086
chr1	8250000	8500000	DCIS	0.991587	1	26	7	19	0.269231	0	1|1	0.457942	2|0	0.542058
chr1	8250000	8500000	INV	0.997463	1	22	8	14	0.363636	0	1|1	0.62914	2|0	0.37086
