#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3	cn_clone4	u_clone4
chr1	0	50000	A12-A	2.03393	16	68	415	684	0.377616	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	0	50000	A12-C	2.33287	15	76	430	721	0.373588	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	0	50000	A12-D	2.32333	16	77	439	806	0.35261	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	50000	100000	A12-A	1.53431	11	54	206	394	0.343333	55	1|1	0.217686	2|0	0	2|0	0	1|1	0.782314	1|1	0
chr1	50000	100000	A12-C	1.91776	11	69	239	528	0.311604	55	1|1	0.222725	2|0	0.261793	2|0	0	1|1	0.515482	1|1	0
chr1	50000	100000	A12-D	2.00814	10	76	243	517	0.319737	55	1|1	0.176347	2|0	0	2|0	0.217594	1|1	0	1|1	0.606059
chr1	100000	150000	A12-A	1.68726	7	37	99	161	0.380769	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	100000	150000	A12-C	2.04443	7	55	162	228	0.415385	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	100000	150000	A12-D	1.9949	7	44	129	179	0.418831	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	200000	250000	A12-A	1.66972	17	53	323	578	0.358491	55	1|1	0.217686	2|0	0	2|0	0	1|1	0.782314	1|1	0
chr1	200000	250000	A12-C	1.86677	17	52	338	561	0.375973	55	1|1	0.222725	2|0	0.261793	2|0	0	1|1	0.515482	1|1	0
chr20	18300000	18350000	A12-A	0.926785	64	31	358	1639	0.179269	42	1|1	0.217686	1|0	0	1|0	0	1|0	0.782314	1|0	0
chr20	18300000	18350000	A12-C	1.09554	64	34	423	1815	0.189008	42	1|1	0.222725	1|0	0.261793	1|0	0	1|0	0.515482	1|0	0
chr20	18300000	18350000	A12-D	0.985316	64	32	320	1790	0.151659	42	1|1	0.176347	1|0	0	1|0	0.217594	1|0	0	1|0	0.606059
chr20	18350000	18400000	A12-A	1.02878	65	31	333	1706	0.163315	42	1|1	0.217686	1|0	0	1|0	0	1|0	0.782314	1|0	0
chr20	18350000	18400000	A12-C	1.21879	65	34	411	1862	0.180818	42	1|1	0.222725	1|0	0.261793	1|0	0	1|0	0.515482	1|0	0
chr20	18350000	18400000	A12-D	1.08773	65	31	278	1801	0.133718	42	1|1	0.176347	1|0	0	1|0	0.217594	1|0	0	1|0	0.606059
chr20	18400000	18450000	A12-A	0.996143	34	30	160	869	0.155491	42	1|1	0.217686	1|0	0	1|0	0	1|0	0.782314	1|0	0
chr20	18400000	18450000	A12-C	1.22778	34	34	197	975	0.168089	42	1|1	0.222725	1|0	0.261793	1|0	0	1|0	0.515482	1|0	0
chr20	18400000	18450000	A12-D	1.07306	34	29	143	863	0.142147	42	1|1	0.176347	1|0	0	1|0	0.217594	1|0	0	1|0	0.606059
chr20	18450000	18500000	A12-A	1.01071	46	30	240	1159	0.171551	42	1|1	0.217686	1|0	0	1|0	0	1|0	0.782314	1|0	0
chr20	18450000	18500000	A12-C	1.19832	45	33	297	1227	0.194882	42	1|1	0.222725	1|0	0.261793	1|0	0	1|0	0.515482	1|0	0
