symbol	Name	Genome Location	Chr Band	Role in Cancer
A1CF	APOBEC1 complementation factor	chr10:50799421-50885675	11.23	oncogene
ABI1	abl-interactor 1	chr10:26746593-26860935	12.1	"TSG
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	chr9:130713946-130885683	34.12	L
ABL2	"c-abl oncogene 2	27		Dom
ACKR3	atypical chemokine receptor 3	chr2:236569641-236582358	37.3	"oncogene
ACSL3	acyl-CoA synthetase long-chain family member 3	chr2:222860934-222944639	36.1	fusion
ACSL6	acyl-CoA synthetase long-chain family member 6	chr5:131949973-132011662	31.1	Dom
ACVR1	"activin A receptor	90	Yes	Dom
ACVR2A	activin A receptor type 2A	chr2:147844517-147930824	23.1	
AFDN	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog	 4 (AF6)"	1	L
AFF1	"AF4/FMR2 family	4299	Yes	Dom
AFF3	"AF4/FMR2 family	3899	Yes	L
AFF4	"AF4/FMR2 family	27125	Yes	Dom
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	chr7:91940867-92110673	21.2	fusion
AKT1	v-akt murine thymoma viral oncogene homolog 1	chr14:104769349-104794124	32.33	
AKT2	v-akt murine thymoma viral oncogene homolog 2	chr19:40230317-40285395	13.2	Dom
AKT3	v-akt murine thymoma viral oncogene homolog 3	chr1:243499720-243843282	44	oncogene
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	chr12:111766922-111817529	24.12	fusion
ALK	anaplastic lymphoma kinase (Ki-1)	chr2:29192774-29921566	23.2	neuroblastoma
AMER1	APC membrane recruitment protein 1	chrX:64185117-64205744	11.2	TSG
ANK1	ankyrin 1	chr8:41653225-41896762	11.21	
APC	adenomatous polyposis of the colon gene	chr5:112737888-112846239	22.2	 other CNS"
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	chr22:38982409-38992784	13.1	"oncogene
AR	Androgen Receptor	chrX:67544036-67730619	12	oncogene
ARAF	"A-Raf proto-oncogene	369		
ARHGAP26	Rho GTPase activating protein 26	chr5:142770377-143229011	31.3	Dom
ARHGAP5	Rho GTPase activating protein 5	chr14:32077289-32159728	12	 O"
ARHGEF10	Rho guanine nucleotide exchange factor 10	chr8:1824015-1958641	23.3	TSG
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	chr1:17539835-17697869	36.13	TSG
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	11:120337078-120489936	23.3	"TSG
ARID1A	AT rich interactive domain 1A (SWI-like)	1:26696033-26782110	36.11	E
ARID1B	AT rich interactive domain 1B	6:156777374-157210779	25.3	E
ARID2	AT rich interactive domain 2	12:45729665-45908040	12	TSG
ARNT	aryl hydrocarbon receptor nuclear translocator	1:150809705-150876768	21.3	"oncogene
ASPSCR1	"alveolar soft part sarcoma chromosome region	79058	Yes	Dom
ASXL1	additional sex combs like 1	20:32358330-32439319	11.21	Rec
ASXL2	"additional sex combs like 2	55252		
ATF1	activating transcription factor 1	12:50764292-50821122	13.12	 M"
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2:215311817-215349763	35	fusion
ATM	ataxia telangiectasia mutated	11:108222832-108369099	22.3	ataxia-telangiectasia
ATP1A1	"ATPase	 alpha 1 polypeptide"	1	E
ATP2B3	"ATPase	 plasma membrane 3"	1	E
ATR	ATR serine/threonine kinase	3:142449237-142578826	23	familial cutaneous telangiectasia and cancer syndrome
ATRX	alpha thalassemia/mental retardation syndrome X-linked	X:77504878-77786269	21.1	Rec
AXIN1	axin 1	16:287440-352659	13.3	 sporadic medulloblastoma"
AXIN2	axin 2	17:65528563-65561647	24.1	E
B2M	beta-2-microglobulin	15:44711477-44718877	21.1	"E
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	3:52401013-52410350	21.1	 skin and uveal melanoma
BARD1	BRCA1 associated RING domain 1	2:214725646-214809704	35	E
BAX	"BCL2 associated X	581		
BAZ1A	bromodomain adjacent to zinc finger domain 1A	14:34752737-34875647	13.2	
BCL10	B-cell CLL/lymphoma 10	1:85266248-85277090	22.3	"TSG
BCL11A	B-cell CLL/lymphoma 11A	2:60457192-60555154	16.1	"oncogene
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	14:99169287-99271228	32.2	"oncogene
BCL2	B-cell CLL/lymphoma 2	18:63123346-63320128	21.33	Dom
BCL2L12	BCL2 like 12	19:49665142-49673915	13.33	
BCL3	B-cell CLL/lymphoma 3	19:44748547-44760044	13.32	"oncogene
BCL6	B-cell CLL/lymphoma 6	3:187721377-187745727	27.3	Dom
BCL7A	B-cell CLL/lymphoma 7A	12:122019422-122062044	24.31	fusion
BCL9	B-cell CLL/lymphoma 9	1:147541412-147626216	21.2	"oncogene
BCL9L	B-cell CLL/lymphoma 9-like	11:118893875-118910904	23.3	E
BCLAF1	BCL2 associated transcription factor 1	6:136256863-136289851	23.3	
BCOR	BCL6 corepressor	X:40051248-40097403	11.4	"L
BCORL1	BCL6 corepressor-like 1	X:130005188-130058083	26.1	 L"
BCR	breakpoint cluster region	22:23180210-23318037	11.23	L
BIRC3	baculoviral IAP repeat-containing 3	11:102317495-102337734	22.2	
BIRC6	baculoviral IAP repeat containing 6	2:32357028-32618899	22.3	E
BLM	Bloom Syndrome	15:90717327-90816165	26.1	Bloom syndrome
BMP5	bone morphogenetic protein 5	6:55753645-55875564	12.1	
BMPR1A	"bone morphogenetic protein receptor	657	Yes	Rec
BRAF	v-raf murine sarcoma viral oncogene homolog B1	7:140730665-140924928	34	 cholangiocarcinoma
BRCA1	familial breast/ovarian cancer gene 1	17:43044295-43125483	21.31	Rec
BRCA2	familial breast/ovarian cancer gene 2	13:32315474-32400266	13.1	 pancreatic
BRD3	bromodomain containing 3	9:134030305-134068017	34.2	"oncogene
BRD4	bromodomain containing 4	19:15235519-15280451	13.12	"oncogene
BRIP1	BRCA1 interacting protein C-terminal helicase 1	17:61681266-61863521	23.2	 breast cancer susceptiblity"
BTG1	"B-cell translocation gene 1	694		Dom
BTK	Bruton agammaglobulinemia tyrosine kinase	X:101349447-101390796	22.1	L
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	15:40161026-40221136	15.1	TSG
C15orf65	chromosome 15 open reading frame 65	15:55408548-55418712	21.3	Dom
CACNA1D	"calcium channel	 L type	3:53495049-53813733	
CALR	calreticulin	19:12938607-12944489	13.13	Dom
CAMTA1	calmodulin binding transcription activator 1	1:6785324-7769706	36.31	"TSG
CANT1	calcium activated nucleotidase 1	17:78991717-79009817	25.3	fusion
CARD11	"caspase recruitment domain family	84433	Yes	Dom
CARS	cysteinyl-tRNA synthetase	11:3000922-3057437	15.4	"TSG
CASP3	caspase 3	4:184627696-184649475	35.1	TSG
CASP8	"caspase 8	841	Yes	
CASP9	caspase 9	1:15492270-15524295	36.21	TSG
CBFA2T3	"core-binding factor	 alpha subunit 2; translocated to	16:88874858-88977204	
CBFB	"core-binding factor	865	Yes	Dom
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	11:119206276-119308149	23.3	L
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	3:105655461-105869043	13.11	TSG
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	19:44777869-44800634	13.32	"oncogene
CCDC6	coiled-coil domain containing 6	10:59788763-59906656	21.2	E
CCNB1IP1	"cyclin B1 interacting protein 1	57820	Yes	Dom
CCNC	cyclin C	6:99542380-99568973	16.2	TSG
CCND1	cyclin D1	11:69641087-69654474	13.3	"L
CCND2	cyclin D2	12:4273772-4305350	13.32	Dom
CCND3	cyclin D3	6:41934933-41941848	21.1	"oncogene
CCNE1	cyclin E1	19:29811898-29824308	12	oncogene
CCR4	C-C motif chemokine receptor 4	3:32951574-32956349	22.3	oncogene
CCR7	C-C motif chemokine receptor 7	17:40553769-40565472	21.2	oncogene
CD209	CD209 molecule	19:7739994-7747534	13.2	
CD274	CD274 molecule	9:5450525-5470547	24.1	Dom
CD28	CD28 molecule	2:203706548-203738912	33.2	oncogene
CD74	"CD74 molecule	 class II invariant chain"	1	E
CD79A	"CD79a molecule	973	Yes	L
CD79B	"CD79b molecule	974	Yes	L
CDC73	cell division cycle 73	1:193122017-193253901	31.2	 M"
CDH1	"cadherin 1	 E-cadherin (epithelial) (ECAD)"	1	familial gastric carcinoma
CDH10	cadherin 10	5:24487100-24644978	14.2	TSG
CDH11	"cadherin 11	 OB-cadherin (osteoblast)"	1	M
CDH17	cadherin 17	8:94127171-94208587	22.1	oncogene
CDK12	cyclin-dependent kinase 12	17:39462039-39535146	12	TSG
CDK4	cyclin-dependent kinase 4	12:57747727-57752521	14.1	oncogene
CDK6	cyclin-dependent kinase 6	7:92604921-92833917	21.2	"oncogene
CDKN1A	cyclin dependent kinase inhibitor 1A	6:36678710-36687337	21.2	"oncogene
CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27	1027		multiple endocrine neoplasia type IV
CDKN2A	cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene	9:21968056-21974866	21.3	"L
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18	1031	Yes	"O
CDX2	caudal type homeo box transcription factor 2	13:27962137-27971139	12.2	"TSG
CEBPA	"CCAAT/enhancer binding protein (C/EBP)	1050	Yes	L
CEP89	centrosomal protein 89kDa	19:32875925-32971963	13.11	fusion
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	8:56211756-56218615	12.1	fusion
CHD2	chromodomain helicase DNA binding protein 2	15:92900320-93028005	26.1	
CHD4	chromodomain helicase DNA binding protein 4	12:6570088-6607476	13.31	oncogene
CHEK2	CHK2 checkpoint homolog (S. pombe)	22:28687763-28741838	12.1	TSG
CHIC2	cysteine-rich hydrophobic domain 2	4:54009789-54064690	12	fusion
CHST11	carbohydrate sulfotransferase 11	12:104456973-104762014	23.3	"oncogene
CIC	capicua homolog	19:42284665-42295797	13.2	 M"
CIITA	"class II	 transactivator"	1	
CLIP1	CAP-GLY domain containing linker protein 1	12:122271434-122422569	24.31	fusion
CLP1	cleavage and polyadenylation factor I subunit 1	11:57657158-57661868	12.1	fusion
CLTC	"clathrin	1213	Yes	L
CLTCL1	"clathrin	8218	Yes	Dom
CNBD1	cyclic nucleotide binding domain containing 1	8:86866445-87382859	21.3	
CNBP	"CCHC-type zinc finger	7555	Yes	Dom
CNOT3	CCR4-NOT transcription complex subunit 3	19:54141396-54155680	13.42	TSG
CNTNAP2	contactin associated protein like 2	7:146116359-148420998	36.1	 O"
CNTRL	centriolin	9:121075012-121177608	33.2	Dom
COL1A1	"collagen	 alpha 1"	1	
COL2A1	"collagen	 alpha 1"	1	
COL3A1	collagen type III alpha 1 chain	2:188974320-189012746	32.2	fusion
COX6C	cytochrome c oxidase subunit VIc	8:99877866-99894062	22.2	fusion
CPEB3	cytoplasmic polyadenylation element binding protein 3	10:92048642-92243279	23.32	TSG
CREB1	cAMP responsive element binding protein 1	2:207529892-207603431	33.3	Dom
CREB3L1	cAMP responsive element binding protein 3-like 1	11:46277661-46321422	11.2	"TSG
CREB3L2	cAMP responsive element binding protein 3-like 2	7:137874979-138002057	33	"oncogene
CREBBP	CREB binding protein (CBP)	16:3725054-3880726	13.3	
CRLF2	cytokine receptor-like factor 2	X:1190490-1212750	22.33	Dom
CRNKL1	crooked neck pre-mRNA splicing factor 1	20:20034368-20056046	11.23	
CRTC1	CREB regulated transcription coactivator 1	19:18683678-18782333	13.11	"oncogene
CRTC3	CREB regulated transcription coactivator 3	15:90530068-90642813	26.1	fusion
CSF1R	colony stimulating factor 1 receptor	5:150053291-150113372	32	
CSF3R	colony stimulating factor 3 receptor (granulocyte)	1:36466043-36483278	34.3	 MDS"
CSMD3	CUB and Sushi multiple domains 3	8:112222928-113437099	23.3	E
CTCF	CCCTC-binding factor	16:67562467-67639176	22.1	E
CTNNA2	catenin alpha 2	2:79651552-80648689	12	oncogene
CTNNB1	"catenin (cadherin-associated protein)	1499	Yes	 other tumour types"
CTNND1	catenin delta 1	11:57761797-57819178	12.1	
CTNND2	catenin delta 2	5:10971840-11904043	15.2	
CUL3	cullin 3	2:224470150-224585348	36.2	TSG
CUX1	cut-like homeobox 1	7:101816011-102258233	22.1	 other tumour types"
CXCR4	C-X-C motif chemokine receptor 4	2:136114349-136116243	22.1	oncogene
CYLD	familial cylindromatosis gene	16:50742760-50801935	12.1	E
CYP2C8	cytochrome P450 family 2 subfamily C member 8	10:95036773-95069497	23.33	
CYSLTR2	cysteinyl leukotriene receptor 2	13:48706555-48711226	14.2	oncogene
DAXX	death-domain associated protein	6:33318558-33323014	21.32	Rec
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	X:126163499-126166097	25	
DCC	DCC netrin 1 receptor	18:52340172-53535899	21.2	E
DCTN1	dynactin 1	2:74361154-74380355	13.1	Dom
DDB2	damage-specific DNA binding protein 2	11:47214942-47239240	11.2	E
DDIT3	DNA-damage-inducible transcript 3	12:57516589-57520517	13.3	"oncogene
DDR2	discoidin domain receptor 2	1:162632465-162787400	23.3	Dom
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	11:108665025-108940930	22.3	"TSG
DDX3X	"DEAD-box helicase 3	1654	Yes	"L
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	17:64499616-64506521	23.3	"oncogene
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	11:118747766-118790948	23.3	"oncogene
DEK	DEK oncogene (DNA binding)	6:18223868-18264823	22.3	"oncogene
DGCR8	"DGCR8	54487		
DICER1	"dicer 1	23405	Yes	 pituitary blastoma
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	19:14514770-14518420	13.12	fusion
DNM2	dynamin 2	19:10718131-10831903	13.2	TSG
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2:25227855-25342590	23.3	TSG
DROSHA	drosha ribonuclease III	5:31400497-31532061	13.3	"E
DUX4L1	double homeobox 4 like 1	4:190084412-190085686	35.2	fusion
EBF1	early B-cell factor 1	5:158695920-159099761	33.3	"TSG
ECT2L	epithelial cell transforming sequence 2 oncogene-like	6:138796111-138904070	24.1	
EED	embryonic ectoderm development	11:86245223-86278813	14.2	"E
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog	1956	Yes	"E
EIF1AX	"eukaryotic translation initiation factor 1A	107984923		
EIF3E	"eukaryotic translation initiation factor 3	3646	Yes	Dom
EIF4A2	"eukaryotic translation initiation factor 4A	1974	Yes	Dom
ELF3	E74 like ETS transcription factor 3	1:202007945-202016009	32.1	TSG
ELF4	E74-like factor 4 (ets domain transcription factor)	X:130064928-130110495	26.1	"oncogene
ELK4	"ELK4	2005	Yes	Dom
ELL	ELL gene (11-19 lysine-rich leukemia gene)	19:18442663-18522127	13.11	"TSG
ELN	elastin	7:74027789-74069907	11.23	fusion
EML4	echinoderm microtubule associated protein like 4	2:42169350-42332548	21	fusion
EP300	300 kd E1A-Binding protein gene	22:41091786-41180079	13.2	 DLBCL"
EPAS1	endothelial PAS domain protein 1	2:46297402-46386703	21	"E
EPHA3	EPH receptor A3	3:89107524-89482134	11.1	E
EPHA7	EPH receptor A7	6:93240020-93419526	16.1	
EPS15	epidermal growth factor receptor pathway substrate 15 (AF1p)	1:51354263-51519328	32.3	"TSG
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2	2064	Yes	 gastric"
ERBB3	erb-b2 receptor tyrosine kinase 3	12:56079861-56103505	13.2	
ERBB4	erb-b2 receptor tyrosine kinase 4	2:211375717-212538841	34	E
ERC1	ELKS/RAB6-interacting/CAST family member 1	12:1027747-1495924	13.33	Dom
ERCC2	"excision repair cross-complementing rodent repair deficiency	2068	Yes	xeroderma pigmentosum (D)
ERCC3	"excision repair cross-complementing rodent repair deficiency	2071	Yes	xeroderma pigmentosum (B)
ERCC4	"excision repair cross-complementing rodent repair deficiency	2072	Yes	xeroderma pigmentosum (F)
ERCC5	"excision repair cross-complementing rodent repair deficiency	 complementation group G (Cockayne syndrome))"	1	 melanoma"
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	21:38380027-38661694	22.2	"M
ESR1	estrogen receptor 1	6:151690496-152103274	25.2	"oncogene
ETNK1	ethanolamine kinase 1	12:22625075-22690665	12.1	
ETV1	ets variant gene 1	7:13891228-13989946	21.2	 E"
ETV4	"ets variant gene 4 (E1A enhancer binding protein	2118		"M
ETV5	ets variant gene 5	3:186046308-186109112	27.2	"oncogene
ETV6	ets variant gene 6 (TEL oncogene)	12:11649854-11895402	13.2	
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	22:29268316-29300343	12.2	 myoepithelioma
EXT1	multiple exostoses type 1 gene	8:117794490-118111853	24.11	Rec
EXT2	multiple exostoses type 2 gene	11:44096197-44245429	11.2	Rec
EZH2	enhancer of zeste homolog 2	7:148807385-148884278	36.1	"oncogene
EZR	ezrin	6:158765748-158819412	25.3	fusion
FAM131B	"family with sequence similarity 131	9715		Dom
FAM135B	family with sequence similarity 135 member B	8:138130023-138496822	24.23	
FAM47C	family with sequence similarity 47 member C	X:37008397-37011666	21.1	"E
FANCA	"Fanconi anemia	2175		L
FANCC	"Fanconi anemia	2176		L
FANCD2	"Fanconi anemia	2177	Yes	L
FANCE	"Fanconi anemia	2178		L
FANCF	"Fanconi anemia	2188		L
FANCG	"Fanconi anemia	2189		L
FAS	Fas cell surface death receptor	10:88990657-89015785	23.31	"L
FAT1	FAT atypical cadherin 1	4:186587783-186723855	35.2	
FAT3	FAT atypical cadherin 3	11:92352541-92896470	14.3	E
FAT4	FAT atypical cadherin 4	4:125316399-125492932	28.1	
FBLN2	fibulin 2	3:13549131-13638422	25.1	
FBXO11	F-box protein 11	2:47806920-47905793	16.3	TSG
FBXW7	"F-box and WD-40 domain protein 7 (archipelago homolog	55294	Yes	
FCGR2B	"Fc fragment of IgG	 receptor for (CD32)"	1	L
FCRL4	Fc receptor-like 4	1:157573749-157598080	23.1	"oncogene
FEN1	flap structure-specific endonuclease 1	11:61792637-61797244	12.2	TSG
FES	"FES proto-oncogene	2242		E
FEV	FEV protein - (HSRNAFEV)	2:218981087-218985657	35	"oncogene
FGFR1	fibroblast growth factor receptor 1	8:38411138-38467845	11.23	L
FGFR1OP	FGFR1 oncogene partner (FOP)	6:166999182-167052713	27	Dom
FGFR2	fibroblast growth factor receptor 2	10:121479857-121598403	26.13	E
FGFR3	fibroblast growth factor receptor 3	4:1793312-1808872	16.3	"L
FGFR4	fibroblast growth factor receptor 4	5:177086886-177098144	35.2	oncogene
FH	fumarate hydratase	1:241497603-241519761	43	 M"
FHIT	fragile histidine triad gene	3:59751407-61251459	14.2	"TSG
FIP1L1	FIP1 like 1 (S. cerevisiae)	4:53377645-53459668	12	fusion
FKBP9	FK506 binding protein 9	7:32957404-33006930	14.3	
